str_no_string|STRING MANQUANT !
str_not_got_healed_player_full_s2|Player {s2} cannot heal you, You are already fully healed.{***}
str_not_got_healed_player_no_more_s2|Player {s2} cannot heal you, you cannot be healed further.{***}
str_healed_player_horse_s2_reg4_reg5|Healed player {s2}'s horse for {reg4}%, current health: {reg5}%.{***}
str_healed_player_horse_full_s2_reg4|Healed player {s2}'s horse for {reg4}%, and he is now fully healed.{***}
str_healed_player_horse_no_more_s2_reg4|Healed player {s2}'s horse for {reg4}%, and he cannot be healed further.{***}
str_not_healed_player_horse_full_s2|Player {s2}'s horse is already fully healed.{***}
str_not_healed_player_horse_no_more_s2|Player {s2}'s horse cannot be healed further.{***}
str_got_healed_player_horse_s2_reg4_reg5|Player {s2} healed your horse for {reg4}%, current health: {reg5}%.{***}
str_got_healed_player_horse_full_s2_reg4|Player {s2} healed your horse for {reg4}%, and he is fully healed.{***}
str_got_healed_player_horse_no_more_s2_reg4|Player {s2} healed your horse for {reg4}%, and he cannot be healed further.{***}
str_not_got_healed_player_horse_full_s2|Player {s2} cannot heal your horse, he is already fully healed.{***}
str_not_got_healed_player_horse_no_more_s2|Player {s2} cannot heal your horse, he cannot be healed further.{***}
str_healed_horse_s2_reg4_reg5|Healed {s2} horse for {reg4}%, current health: {reg5}%.{***}
str_healed_horse_full_s2_reg4|Healed {s2} horse for {reg4}%, and he is now fully healed.{***}
str_healed_horse_no_more_s2_reg4|Healed {s2} horse for {reg4}%, and he cannot be healed further.{***}
str_not_healed_horse_full_s2|Player {s2} horse is already fully healed.{***}
str_not_healed_horse_no_more_s2|Player {s2} horse cannot be healed further.{***}
str_royale_weapon_musket|Ramasser un mousquet
str_royale_weapon_pistol|Ramasser un pitolet
str_royale_weapon_carabine|Ramasser une carabine
str_royale_weapon_smallsword|Ramasser une épée courte
str_royale_weapon_bigsword|Ramasser une épée
str_royale_weapon_bottle|Ramasser une bouteille
str_royale_weapon_axe|Ramasser une hache
str_royale_weapon_spear|Ramasser une lance
str_royale_weapon_club|Ramasser une massue
str_royale_weapon_tool|Ramasser un outil
str_royale_weapon_ramrod|Ramasser un écouvillon
str_royale_weapon_lighter|Ramasser un boutefeu
str_royale_weapon_ammo|Ramasser des munitions
str_royale_weapon_ammo_pistol|Ramasser des munitions de pistolet
str_royale_weapon_ammo_musket|Ramasser des munitions de mousquet
str_custom_flag_name_1|Custom Flag 1{***}
str_custom_flag_name_2|Custom Flag 2{***}
str_custom_flag_name_3|Custom Flag 3{***}
str_custom_flag_name_4|Custom Flag 4{***}
str_custom_flag_name_5|Custom Flag 5{***}
str_custom_flag_name_6|Custom Flag 6{***}
str_custom_flag_name_7|Custom Flag 7{***}
str_custom_flag_name_8|Custom Flag 8{***}
str_custom_flag_name_9|Custom Flag 9{***}
str_custom_flag_name_10|Custom Flag 10{***}
str_custom_flag_name_11|Custom Flag 11{***}
str_custom_flag_name_12|Custom Flag 12{***}
str_custom_flag_name_13|Custom Flag 13{***}
str_custom_flag_name_14|Custom Flag 14{***}
str_custom_flag_name_15|Custom Flag 15{***}
str_custom_flag_name_16|Custom Flag 16{***}
str_custom_flag_name_17|Custom Flag 17{***}
str_custom_flag_name_18|Custom Flag 18{***}
str_custom_flag_name_19|Custom Flag 19{***}
str_custom_flag_name_20|Custom Flag 20{***}
str_custom_flag_name_21|Custom Flag 21{***}
str_custom_flag_name_22|Custom Flag 22{***}
str_custom_flag_name_23|Custom Flag 23{***}
str_custom_flag_name_24|Custom Flag 24{***}
str_custom_flag_name_25|Custom Flag 25{***}
str_custom_flag_name_26|Custom Flag 26{***}
str_custom_flag_name_27|Custom Flag 27{***}
str_custom_flag_name_28|Custom Flag 28{***}
str_custom_flag_name_29|Custom Flag 29{***}
str_custom_flag_name_30|Custom Flag 30{***}
str_custom_flag_name_31|Custom Flag 31{***}
str_custom_flag_name_32|Custom Flag 32{***}
str_custom_flag_name_33|Custom Flag 33{***}
str_custom_flag_name_34|Custom Flag 34{***}
str_custom_flag_name_35|Custom Flag 35{***}
str_custom_flag_name_36|Custom Flag 36{***}
str_custom_flag_name_37|Custom Flag 37{***}
str_custom_flag_name_38|Custom Flag 38{***}
str_custom_flag_name_39|Custom Flag 39{***}
str_custom_flag_name_40|Custom Flag 40{***}
str_welcome_message_server|Bienvenue {s3}, votre ID de joueur est {reg44}. Veuillez suivre les règles et amusez-vous bien !
